Location,Count,Max,Timestamp
Courts 3&4,0,250,2024-02-06 11:58:47
Courts 5-8,0,500,2024-02-06 11:58:47
Orbit,10,46,2024-02-06 11:58:47
Willow Room,3,27,2024-02-06 11:58:47
Cove Pool,5,116,2024-02-06 11:58:47
Mount Mendota,,,2024-02-06 11:58:47
Skybox Suites,3,18,2024-02-06 11:58:47
SubZero Ice Center,1,300,2024-02-06 11:58:47
Nick Level 1 Fitness,32,150,2024-02-06 12:19:01
Nick Level 2 Fitness,26,100,2024-02-06 12:19:01
Nick Level 3 Fitness,64,200,2024-02-06 12:19:01
Nick Power House,30,140,2024-02-06 12:19:01
Nick Track,7,100,2024-02-06 12:19:01
Soderholm Family Aquatic Center,24,230,2024-02-06 12:19:01
Nick Courts 1 & 2,0,250,2024-02-06 12:19:01
Nick Courts 3-6,4,500,2024-02-06 12:19:01
Nick Courts 7 & 8,2,250,2024-02-06 12:19:01
Level 1 Fitness,40,130,2024-02-06 12:19:15
Level 2 Fitness,10,65,2024-02-06 12:19:15
Level 3 Fitness,36,246,2024-02-06 12:19:15
Level 4 Fitness,16,75,2024-02-06 12:19:15
Bakke Track,2,100,2024-02-06 12:19:15
Courts 1&2,0,250,2024-02-06 12:19:15
Courts 3&4,0,250,2024-02-06 12:19:15
Courts 5-8,2,500,2024-02-06 12:19:15
Orbit,15,46,2024-02-06 12:19:15
Willow Room,4,27,2024-02-06 12:19:15
Cove Pool,4,116,2024-02-06 12:19:15
Mount Mendota,,,2024-02-06 12:19:15
Skybox Suites,1,18,2024-02-06 12:19:15
SubZero Ice Center,6,300,2024-02-06 12:19:15
Nick Level 1 Fitness,41,150,2024-02-06 12:39:28
Nick Level 2 Fitness,31,100,2024-02-06 12:39:28
Nick Level 3 Fitness,65,200,2024-02-06 12:39:28
Nick Power House,45,140,2024-02-06 12:39:28
Nick Track,10,100,2024-02-06 12:39:28
Soderholm Family Aquatic Center,12,230,2024-02-06 12:39:28
Nick Courts 1 & 2,0,250,2024-02-06 12:39:28
Nick Courts 3-6,4,500,2024-02-06 12:39:28
Nick Courts 7 & 8,2,250,2024-02-06 12:39:28
Level 1 Fitness,40,130,2024-02-06 12:39:42
Level 2 Fitness,10,65,2024-02-06 12:39:42
Level 3 Fitness,36,246,2024-02-06 12:39:42
Level 4 Fitness,16,75,2024-02-06 12:39:42
Bakke Track,2,100,2024-02-06 12:39:42
Courts 1&2,0,250,2024-02-06 12:39:42
Courts 3&4,0,250,2024-02-06 12:39:42
Courts 5-8,2,500,2024-02-06 12:39:42
Orbit,15,46,2024-02-06 12:39:42
Willow Room,4,27,2024-02-06 12:39:42
Cove Pool,4,116,2024-02-06 12:39:42
Mount Mendota,,,2024-02-06 12:39:42
Skybox Suites,1,18,2024-02-06 12:39:42
SubZero Ice Center,6,300,2024-02-06 12:39:42
Nick Level 1 Fitness,41,150,2024-02-06 12:59:55
Nick Level 2 Fitness,31,100,2024-02-06 12:59:55
Nick Level 3 Fitness,65,200,2024-02-06 12:59:55
Nick Power House,45,140,2024-02-06 12:59:55
Nick Track,10,100,2024-02-06 12:59:55
Soderholm Family Aquatic Center,15,230,2024-02-06 12:59:55
Nick Courts 1 & 2,0,250,2024-02-06 12:59:55
Nick Courts 3-6,4,500,2024-02-06 12:59:55
Nick Courts 7 & 8,2,250,2024-02-06 12:59:55
Level 1 Fitness,40,130,2024-02-06 13:00:09
Level 2 Fitness,10,65,2024-02-06 13:00:09
Level 3 Fitness,36,246,2024-02-06 13:00:09
Level 4 Fitness,16,75,2024-02-06 13:00:09
Bakke Track,2,100,2024-02-06 13:00:09
Courts 1&2,0,250,2024-02-06 13:00:09
Courts 3&4,0,250,2024-02-06 13:00:09
Courts 5-8,2,500,2024-02-06 13:00:09
Orbit,15,46,2024-02-06 13:00:09
Willow Room,4,27,2024-02-06 13:00:09
Cove Pool,4,116,2024-02-06 13:00:09
Mount Mendota,,,2024-02-06 13:00:09
Skybox Suites,1,18,2024-02-06 13:00:09
SubZero Ice Center,6,300,2024-02-06 13:00:09
Nick Level 1 Fitness,41,150,2024-02-06 13:20:23
Nick Level 2 Fitness,31,100,2024-02-06 13:20:23
Nick Level 3 Fitness,65,200,2024-02-06 13:20:23
Nick Power House,45,140,2024-02-06 13:20:23
Nick Track,10,100,2024-02-06 13:20:23
Soderholm Family Aquatic Center,15,230,2024-02-06 13:20:23
Nick Courts 1 & 2,0,250,2024-02-06 13:20:23
Nick Courts 3-6,4,500,2024-02-06 13:20:23
Nick Courts 7 & 8,2,250,2024-02-06 13:20:23
Level 1 Fitness,40,130,2024-02-06 13:20:36
Level 2 Fitness,10,65,2024-02-06 13:20:36
Level 3 Fitness,36,246,2024-02-06 13:20:36
Level 4 Fitness,16,75,2024-02-06 13:20:36
Bakke Track,2,100,2024-02-06 13:20:36
Courts 1&2,0,250,2024-02-06 13:20:36
Courts 3&4,0,250,2024-02-06 13:20:36
Courts 5-8,2,500,2024-02-06 13:20:36
Orbit,15,46,2024-02-06 13:20:36
Willow Room,4,27,2024-02-06 13:20:36
Cove Pool,4,116,2024-02-06 13:20:36
Mount Mendota,,,2024-02-06 13:20:36
Skybox Suites,1,18,2024-02-06 13:20:36
SubZero Ice Center,6,300,2024-02-06 13:20:36
Nick Level 1 Fitness,36,150,2024-02-06 13:40:50
Nick Level 2 Fitness,36,100,2024-02-06 13:40:50
Nick Level 3 Fitness,76,200,2024-02-06 13:40:50
Nick Power House,44,140,2024-02-06 13:40:50
Nick Track,16,100,2024-02-06 13:40:50
Soderholm Family Aquatic Center,4,230,2024-02-06 13:40:50
Nick Courts 1 & 2,0,250,2024-02-06 13:40:50
Nick Courts 3-6,11,500,2024-02-06 13:40:50
Nick Courts 7 & 8,2,250,2024-02-06 13:40:50
Level 1 Fitness,40,130,2024-02-06 13:41:03
Level 2 Fitness,13,65,2024-02-06 13:41:03
Level 3 Fitness,36,246,2024-02-06 13:41:03
Level 4 Fitness,13,75,2024-02-06 13:41:03
Bakke Track,5,100,2024-02-06 13:41:03
Courts 1&2,2,250,2024-02-06 13:41:03
Courts 3&4,8,250,2024-02-06 13:41:03
Courts 5-8,5,500,2024-02-06 13:41:03
Orbit,15,46,2024-02-06 13:41:03
Willow Room,4,27,2024-02-06 13:41:03
Cove Pool,3,116,2024-02-06 13:41:03
Mount Mendota,,,2024-02-06 13:41:03
Skybox Suites,2,18,2024-02-06 13:41:03
SubZero Ice Center,9,300,2024-02-06 13:41:03
Nick Level 1 Fitness,36,150,2024-02-06 14:01:17
Nick Level 2 Fitness,36,100,2024-02-06 14:01:17
Nick Level 3 Fitness,76,200,2024-02-06 14:01:17
Nick Power House,44,140,2024-02-06 14:01:17
Nick Track,16,100,2024-02-06 14:01:17
Soderholm Family Aquatic Center,4,230,2024-02-06 14:01:17
Nick Courts 1 & 2,0,250,2024-02-06 14:01:17
Nick Courts 3-6,11,500,2024-02-06 14:01:17
Nick Courts 7 & 8,2,250,2024-02-06 14:01:17
Level 1 Fitness,40,130,2024-02-06 14:01:30
Level 2 Fitness,13,65,2024-02-06 14:01:30
Level 3 Fitness,36,246,2024-02-06 14:01:30
Level 4 Fitness,13,75,2024-02-06 14:01:30
Bakke Track,5,100,2024-02-06 14:01:30
Courts 1&2,2,250,2024-02-06 14:01:30
Courts 3&4,8,250,2024-02-06 14:01:30
Courts 5-8,5,500,2024-02-06 14:01:30
Orbit,15,46,2024-02-06 14:01:30
Willow Room,4,27,2024-02-06 14:01:30
Cove Pool,3,116,2024-02-06 14:01:30
Mount Mendota,,,2024-02-06 14:01:30
Skybox Suites,2,18,2024-02-06 14:01:30
SubZero Ice Center,9,300,2024-02-06 14:01:30
Nick Level 1 Fitness,36,150,2024-02-06 14:21:44
Nick Level 2 Fitness,36,100,2024-02-06 14:21:44
Nick Level 3 Fitness,76,200,2024-02-06 14:21:44
Nick Power House,44,140,2024-02-06 14:21:44
Nick Track,16,100,2024-02-06 14:21:44
Soderholm Family Aquatic Center,,,2024-02-06 14:21:44
Nick Courts 1 & 2,0,250,2024-02-06 14:21:44
Nick Courts 3-6,11,500,2024-02-06 14:21:44
Nick Courts 7 & 8,2,250,2024-02-06 14:21:44
Level 1 Fitness,40,130,2024-02-06 14:21:58
Level 2 Fitness,13,65,2024-02-06 14:21:58
Level 3 Fitness,36,246,2024-02-06 14:21:58
Level 4 Fitness,13,75,2024-02-06 14:21:58
Bakke Track,5,100,2024-02-06 14:21:58
Courts 1&2,2,250,2024-02-06 14:21:58
Courts 3&4,8,250,2024-02-06 14:21:58
Courts 5-8,5,500,2024-02-06 14:21:58
Orbit,15,46,2024-02-06 14:21:58
Willow Room,4,27,2024-02-06 14:21:58
Cove Pool,3,116,2024-02-06 14:21:58
Mount Mendota,,,2024-02-06 14:21:58
Skybox Suites,2,18,2024-02-06 14:21:58
SubZero Ice Center,9,300,2024-02-06 14:21:58
Nick Level 1 Fitness,46,150,2024-02-06 14:42:11
Nick Level 2 Fitness,24,100,2024-02-06 14:42:11
Nick Level 3 Fitness,76,200,2024-02-06 14:42:11
Nick Power House,42,140,2024-02-06 14:42:11
Nick Track,17,100,2024-02-06 14:42:11
Soderholm Family Aquatic Center,,,2024-02-06 14:42:11
Nick Courts 1 & 2,5,250,2024-02-06 14:42:11
Nick Courts 3-6,23,500,2024-02-06 14:42:11
Nick Courts 7 & 8,5,250,2024-02-06 14:42:11
Level 1 Fitness,40,130,2024-02-06 14:42:25
Level 2 Fitness,13,65,2024-02-06 14:42:25
Level 3 Fitness,36,246,2024-02-06 14:42:25
Level 4 Fitness,13,75,2024-02-06 14:42:25
Bakke Track,5,100,2024-02-06 14:42:25
Courts 1&2,2,250,2024-02-06 14:42:25
Courts 3&4,8,250,2024-02-06 14:42:25
Courts 5-8,5,500,2024-02-06 14:42:25
Orbit,15,46,2024-02-06 14:42:25
Willow Room,4,27,2024-02-06 14:42:25
Cove Pool,3,116,2024-02-06 14:42:25
Mount Mendota,,,2024-02-06 14:42:25
Skybox Suites,2,18,2024-02-06 14:42:25
SubZero Ice Center,9,300,2024-02-06 14:42:25
Nick Level 1 Fitness,46,150,2024-02-06 15:02:38
Nick Level 2 Fitness,24,100,2024-02-06 15:02:38
Nick Level 3 Fitness,76,200,2024-02-06 15:02:38
Nick Power House,42,140,2024-02-06 15:02:38
Nick Track,17,100,2024-02-06 15:02:38
Soderholm Family Aquatic Center,,,2024-02-06 15:02:38
Nick Courts 1 & 2,5,250,2024-02-06 15:02:38
Nick Courts 3-6,23,500,2024-02-06 15:02:38
Nick Courts 7 & 8,5,250,2024-02-06 15:02:38
Level 1 Fitness,43,130,2024-02-06 15:02:52
Level 2 Fitness,12,65,2024-02-06 15:02:52
Level 3 Fitness,39,246,2024-02-06 15:02:52
Level 4 Fitness,12,75,2024-02-06 15:02:52
Bakke Track,3,100,2024-02-06 15:02:52
Courts 1&2,2,250,2024-02-06 15:02:52
Courts 3&4,0,250,2024-02-06 15:02:52
Courts 5-8,6,500,2024-02-06 15:02:52
Orbit,12,46,2024-02-06 15:02:52
Willow Room,2,27,2024-02-06 15:02:52
Cove Pool,7,116,2024-02-06 15:02:52
Mount Mendota,,,2024-02-06 15:02:52
Skybox Suites,6,18,2024-02-06 15:02:52
SubZero Ice Center,17,300,2024-02-06 15:02:52
Nick Level 1 Fitness,46,150,2024-02-06 15:23:05
Nick Level 2 Fitness,24,100,2024-02-06 15:23:05
Nick Level 3 Fitness,76,200,2024-02-06 15:23:05
Nick Power House,42,140,2024-02-06 15:23:05
Nick Track,17,100,2024-02-06 15:23:05
Soderholm Family Aquatic Center,,,2024-02-06 15:23:05
Nick Courts 1 & 2,5,250,2024-02-06 15:23:05
Nick Courts 3-6,23,500,2024-02-06 15:23:05
Nick Courts 7 & 8,5,250,2024-02-06 15:23:05
Level 1 Fitness,43,130,2024-02-06 15:23:19
Level 2 Fitness,12,65,2024-02-06 15:23:19
Level 3 Fitness,39,246,2024-02-06 15:23:19
Level 4 Fitness,12,75,2024-02-06 15:23:19
Bakke Track,3,100,2024-02-06 15:23:19
Courts 1&2,2,250,2024-02-06 15:23:19
Courts 3&4,0,250,2024-02-06 15:23:19
Courts 5-8,6,500,2024-02-06 15:23:19
Orbit,12,46,2024-02-06 15:23:19
Willow Room,2,27,2024-02-06 15:23:19
Cove Pool,7,116,2024-02-06 15:23:19
Mount Mendota,,,2024-02-06 15:23:19
Skybox Suites,6,18,2024-02-06 15:23:19
SubZero Ice Center,17,300,2024-02-06 15:23:19
Nick Level 1 Fitness,48,150,2024-02-06 15:43:32
Nick Level 2 Fitness,53,100,2024-02-06 15:43:32
Nick Level 3 Fitness,113,200,2024-02-06 15:43:32
Nick Power House,69,140,2024-02-06 15:43:32
Nick Track,17,100,2024-02-06 15:43:32
Soderholm Family Aquatic Center,,,2024-02-06 15:43:32
Nick Courts 1 & 2,23,250,2024-02-06 15:43:32
Nick Courts 3-6,20,500,2024-02-06 15:43:32
Nick Courts 7 & 8,16,250,2024-02-06 15:43:32
Level 1 Fitness,0,130,2024-02-06 15:43:46
Level 2 Fitness,0,65,2024-02-06 15:43:46
Level 3 Fitness,0,246,2024-02-06 15:43:46
Level 4 Fitness,0,75,2024-02-06 15:43:46
Bakke Track,0,100,2024-02-06 15:43:46
Courts 1&2,0,250,2024-02-06 15:43:46
Courts 3&4,0,250,2024-02-06 15:43:46
Courts 5-8,0,500,2024-02-06 15:43:46
Orbit,0,46,2024-02-06 15:43:46
Willow Room,0,27,2024-02-06 15:43:46
Cove Pool,0,116,2024-02-06 15:43:46
Mount Mendota,0,39,2024-02-06 15:43:46
Skybox Suites,0,18,2024-02-06 15:43:46
SubZero Ice Center,0,327,2024-02-06 15:43:46
Nick Level 1 Fitness,48,150,2024-02-06 16:03:59
Nick Level 2 Fitness,53,100,2024-02-06 16:03:59
Nick Level 3 Fitness,113,200,2024-02-06 16:03:59
Nick Power House,69,140,2024-02-06 16:03:59
Nick Track,17,100,2024-02-06 16:03:59
Soderholm Family Aquatic Center,,,2024-02-06 16:03:59
Nick Courts 1 & 2,23,250,2024-02-06 16:03:59
Nick Courts 3-6,20,500,2024-02-06 16:03:59
Nick Courts 7 & 8,16,250,2024-02-06 16:03:59
Level 1 Fitness,42,130,2024-02-06 16:04:13
Level 2 Fitness,12,65,2024-02-06 16:04:13
Level 3 Fitness,39,246,2024-02-06 16:04:13
Level 4 Fitness,12,75,2024-02-06 16:04:13
Bakke Track,3,100,2024-02-06 16:04:13
Courts 1&2,1,250,2024-02-06 16:04:13
Courts 3&4,0,250,2024-02-06 16:04:13
Courts 5-8,7,500,2024-02-06 16:04:13
Orbit,20,46,2024-02-06 16:04:13
Willow Room,1,27,2024-02-06 16:04:13
Cove Pool,5,116,2024-02-06 16:04:13
Mount Mendota,14,39,2024-02-06 16:04:13
Skybox Suites,6,18,2024-02-06 16:04:13
SubZero Ice Center,10,300,2024-02-06 16:04:13
Nick Level 1 Fitness,48,150,2024-02-06 16:24:26
Nick Level 2 Fitness,53,100,2024-02-06 16:24:26
Nick Level 3 Fitness,113,200,2024-02-06 16:24:26
Nick Power House,69,140,2024-02-06 16:24:26
Nick Track,17,100,2024-02-06 16:24:26
Soderholm Family Aquatic Center,,,2024-02-06 16:24:26
Nick Courts 1 & 2,23,250,2024-02-06 16:24:26
Nick Courts 3-6,20,500,2024-02-06 16:24:26
Nick Courts 7 & 8,16,250,2024-02-06 16:24:26
Level 1 Fitness,42,130,2024-02-06 16:24:40
Level 2 Fitness,12,65,2024-02-06 16:24:40
Level 3 Fitness,39,246,2024-02-06 16:24:40
Level 4 Fitness,12,75,2024-02-06 16:24:40
Bakke Track,3,100,2024-02-06 16:24:40
Courts 1&2,1,250,2024-02-06 16:24:40
Courts 3&4,0,250,2024-02-06 16:24:40
Courts 5-8,7,500,2024-02-06 16:24:40
Orbit,20,46,2024-02-06 16:24:40
Willow Room,1,27,2024-02-06 16:24:40
Cove Pool,8,116,2024-02-06 16:24:40
Mount Mendota,14,39,2024-02-06 16:24:40
Skybox Suites,6,18,2024-02-06 16:24:40
SubZero Ice Center,18,300,2024-02-06 16:24:40
Nick Level 1 Fitness,57,150,2024-02-06 16:44:53
Nick Level 2 Fitness,67,100,2024-02-06 16:44:53
Nick Level 3 Fitness,135,200,2024-02-06 16:44:53
Nick Power House,65,140,2024-02-06 16:44:53
Nick Track,39,100,2024-02-06 16:44:53
Soderholm Family Aquatic Center,,,2024-02-06 16:44:53
Nick Courts 1 & 2,24,250,2024-02-06 16:44:53
Nick Courts 3-6,37,500,2024-02-06 16:44:53
Nick Courts 7 & 8,10,250,2024-02-06 16:44:53
Level 1 Fitness,42,130,2024-02-06 16:45:07
Level 2 Fitness,12,65,2024-02-06 16:45:07
Level 3 Fitness,39,246,2024-02-06 16:45:07
Level 4 Fitness,12,75,2024-02-06 16:45:07
Bakke Track,3,100,2024-02-06 16:45:07
Courts 1&2,1,250,2024-02-06 16:45:07
Courts 3&4,0,250,2024-02-06 16:45:07
Courts 5-8,7,500,2024-02-06 16:45:07
Orbit,20,46,2024-02-06 16:45:07
Willow Room,1,27,2024-02-06 16:45:07
Cove Pool,8,116,2024-02-06 16:45:07
Mount Mendota,14,39,2024-02-06 16:45:07
Skybox Suites,6,18,2024-02-06 16:45:07
SubZero Ice Center,18,300,2024-02-06 16:45:07
